"","Date","Tank","Cohort","Total Tenure","Tank Tenure","Total Feed Offered (g)","REQUIRED Feed(g)/Day","Feed Size 
1","% CP
1","% of Total
1","Total Feed (g) size 
1","Feed Size 
2","% CP
2","% of Total
2","Total Feed (g) size 
2","Feed Size 
3","% CP
3","% of Total
3","Total Feed (g) size 
3","Alkalinity Remaining g/L","Sodium bicarbonate (g)","Turbostart 10X                            (mL)","PROJECTED GROWTH/
FEED CURVE","Wt.(g)
increment
for Feed","FCR Expected","Manual Correction Factor","Daily Feed Required at 35% CP Feed(g)","400-600um","600-1000um","1.0-1.3mm","1.3-1.8mm","1.8-2.4mm","Grams of Increased Feed","Daily Feed Required at Offered 35%CP (g)","Total Tenure Feed Offered (g)","HISTORIC expected size (Wt g/ Shrimp)","% Difference
from
Growth Curve1","EXPECTED SIZE
(Wt g/ Shrimp)","Wt.(g) increment1","ADJUSTED EXPECTED SIZE (Wt g/ Shrimp)","Wt.(g) increment for Feed","AVERAGE SIZE Weight in Grams / Shrimp","% Difference                                                                  from                                                              Growth Curve1","ADFI Over Entire Tenure","ADG Over Entire Tenure","FEED:GAIN","Calculated Count - Includes Daily Mortality Rate and Staff Removal Counts","Jumpers","Sump Dump","Total Daily MIA Assumed Loss - Actual Counted","Daily Mortality Assumption","Samples","Harvest","Termination","Actual Count - Estimates Including Sump Dump, Jumpers and Other Loses","Harvest Weight in Pounds","Projected Growth 
(g)","Shrimp Count                                                                           /L","Shrimp Count                                                                           /m2","Shrimp Count                                                                              /m3","Biomass Kg/m2","Maximum Biomass Kg/m2 by Weight","Biomass 
Kg/m3","Shrimp Harvest Size Code","Back Flush Frequency","MBBR
(LPM)","MBBR
(GPM)","Standard
(LPM)","Standard
(GPM)","EN
(LPM)","EN
(GPM)","Tank Level (cm)","Initial Salinity (ppt)","Final Salinity (28-32 PPT)","Pump Pressure (PSI)","BioFilter Flow Rate (LPM)","BioFilter Flow Rate (LPM)_2","BioFilter Flow Rate (LPM)_3","pH 
(7.5-8.4)","D.O. 
(goal 4.5)","Temperature 
(28-30°C)","TSS","Turbidity","Mat? Y/N","Imhoff (15mL/L)","TAN NH4","Un-ionized NH3-N (0.4mg/L)","NO2-N (4.5mg/L)","ALK CaCO3
(75-200mg/L)","NO3-N 
(250mg/L)","28ppt Sea Water Added (cm)","Marine Mix (Pounds)","0 ppt RO Water Added (cm)","Amonium Chloride (NH4Cl)g","Sodium Nitrite (NANO2)g","FOS (C6H12O6)g","Sodium Carbonate (NaCO3)g","Sodium Bicarbonate (NaHCO3)g","Biowish","Turbo start","Water Exchange Percent","Monster","Molts-Harvest End (g)","Molts-Feed End (g)","Bead Filter 1 Assigned Flow Rate (LPM)","Bead Filter 2 Assigned Flow Rate (LPM)","Bead Filter 3 Assigned Flow Rate (LPM)","Recommended Back Flush Frequency (hours)","Recommended Sump Dump Frequency (minutes)","NOTES","Green Vibrio","Total Heterotroph","Yellow Vibrio"
"1",2018-11-27,"RTB1","Cohort1",34,1,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,13742,1.18558878933943,NA,0.0170194982042337,1,0,0,0,0,0,0,0,0,0,1.18558878933943,NA,NA,NA,NA,0.10708074031588,NA,0,NA,-8.82352941176471e-05,0,0,NA,NA,0,0,NA,NA,NA,0,NA,1.18558878933943,0,0,0,0,1.69719730469521,0,570.936169837775,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2018-11-28,"RTB1","Cohort1",35,2,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,0,1.29743033876068,NA,0.017976397365941,1,0,0,0,0,0,0,0,0,0,1.29743033876068,NA,NA,NA,NA,0.111841549421252,NA,0,NA,-8.57142857142857e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.29743033876068,0,0,0,0,1.75263717216711,0,521.720127983623,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2018-11-29,"RTB1","Cohort1",36,3,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,6871,1.41424436283305,NA,0.0189870969390757,1,0,0,0,0,0,0,0,0,0,1.41424436283305,NA,NA,NA,NA,0.116814024072369,NA,0,NA,-8.33333333333333e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.41424436283305,0,0,0,0,1.805656152093,0,478.62698991572,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2018-11-30,"RTB1","Cohort1",37,4,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,0,1.53625193775124,NA,0.0200546217818314,1,0,0,0,0,0,0,0,0,0,1.53625193775124,NA,NA,NA,NA,0.122007574918191,NA,0,NA,-8.10810810810811e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.53625193775124,0,0,0,0,1.85654757059802,0,440.614918526251,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2018-12-01,"RTB1","Cohort1",38,5,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,6871,1.66368396875632,NA,0.0211821668211216,1,0,0,0,0,0,0,0,0,0,1.66368396875632,NA,NA,NA,NA,0.127432031005078,NA,0,NA,-7.89473684210526e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.66368396875632,0,0,0,0,1.9055561570695,0,406.865447464802,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2018-12-01,"RTB4","Cohort1",38,5,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,6871,1.66368396875632,NA,0.0211821668211216,1,0,0,0,0,0,0,0,0,0,1.66368396875632,NA,NA,NA,NA,0.127432031005078,NA,0,NA,-7.89473684210526e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.66368396875632,0,0,0,0,1.9055561570695,0,406.865447464802,NA,0,0,0,0,0,0,40,28.3,"28.3","6.4-6.7",190,NA,NA,7.92,5.2,27.9,NA,NA,"n",NA,1.46,0.06,0.72,284,3.43,NA,NA,NA,NA,NA,NA,NA,19.7,12.7,6871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2018-12-02,"RTB1","Cohort1",39,6,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,0,1.79678162713506,NA,0.0223731066144718,1,0,0,0,0,0,0,0,0,0,1.79678162713506,NA,NA,NA,NA,0.133097658378734,NA,0,NA,-7.69230769230769e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.79678162713506,0,0,0,0,1.95288820396889,0,376.72664956362,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2018-12-02,"RTB4","Cohort1",39,6,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,0,1.79678162713506,NA,0.0223731066144718,1,0,0,0,0,0,0,0,0,0,1.79678162713506,NA,NA,NA,NA,0.133097658378734,NA,0,NA,-7.69230769230769e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.79678162713506,0,0,0,0,1.95288820396889,0,376.72664956362,NA,0,0,0,0,0,0,40,28.5,"28.5","9.7-9.3",190,NA,NA,7.87,5.4,27.9,NA,NA,"n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.8,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2018-12-03,"RTB1","Cohort1",40,7,0,0,"12-14",0.35,1,0,NA,NA,0,0,NA,NA,NA,0,200,0,0,1.93579680664825,NA,0.023631005449518,1,0,0,0,0,0,0,0,0,0,1.93579680664825,NA,NA,NA,NA,0.139015179513197,NA,0,NA,-7.5e-05,NA,0,NA,NA,0,0,NA,NA,NA,0,NA,1.93579680664825,0,0,0,0,1.99871920228305,0,349.672816931687,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2018-12-03,"RTB2","Cohort1",40,7,2270,2836,"12-14",0.35,1,2836,NA,NA,0,0,NA,NA,NA,0,104.478500412622,10.2,0,1.93579680664825,NA,0.023631005449518,1,2836,0,0,0,2836,0,2836,2836,2270,1.93579680664825,NA,NA,NA,NA,0.139015179513197,1.1,0.441446513760598,0.851988387018453,0.0281282051282051,30.2894686360252,42002,NA,NA,419.893994,419.893994,NA,NA,NA,42002,NA,1.93579680664825,0.9,251.546539867175,825.283923448737,0.486942988598295,1.99871920228305,1.59758198359021,349.672816931687,NA,97,26,49,13,33,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
